label,template
legit,"Recently joined employer after graduation."
legit,"Started new position at {employer_name} last month."
legit,"Career change to {employer_industry} industry and short tenure expected."
legit,"Promoted internally and tenure reflects new role start date."
legit,"Returned to workforce after parental leave."
legit,"Contractor converted to full-time employee recently."
legit,"Relocated for spouse employment and found new job in {city}."
fraud_like,"Employer name provided but no verifiable tenure details."
fraud_like,"Unable to confirm employment at stated company."
fraud_like,"Employment dates inconsistent with provided documentation."
fraud_like,"Employer contact information appears invalid or disconnected."
fraud_like,"No record of applicant at claimed employer."
fraud_like,"Income stated inconsistent with employer and role type."
